what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091132565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333091134360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333091134844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091135892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091139009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333091140868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333091141239
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333091142512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091145596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091164768
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333091166533
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1333091171060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333091171304
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333091173917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091177090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091191902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091195992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091196384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091199263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091206528
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333091206574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091208492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091215635
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1333091262324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333091262503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333091267791
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333091268983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091272316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091293588
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333091296049
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1333091297487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333091297663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091332025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091337090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333091343048
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333091345420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091348509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091364008
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333091365942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333091367930
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333091369525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091374040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333091394054
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333091394386
