what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333093820965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093824062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093830876
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333093831974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333093833521
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333093834604
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333093835926
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1333093880660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333093880762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333093890056
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333093891630
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333093893135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093894946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093910242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333093916813
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333093917991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093921072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093926869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333093927724
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1333093929086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333093929300
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333093930803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093933955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093949909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333093951174
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1333093954861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093967442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093967730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333093970044
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333093971240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093974343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333093981159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333093981730
