what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332473912974
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332473913790
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332473930987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332473931192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332473936243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332473936770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332473970623
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332473972905
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332473975812
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332473976921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332473977168
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332473978394
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1332473980684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332473983042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332473995899
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332473997440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474003442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474004648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474036054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474062973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332474138839
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332474140491
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1332474142971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474143792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474164159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332474165048
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332474166739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474189950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474195921
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332474212244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332474212491
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332474214082
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1332474216235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474218599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474256054
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332474256914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474258911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474290468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474302563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1332474302586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474305108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474317160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1332474317178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474320977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332474353509
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332474356340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474357624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474359113
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1332474361794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474364166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474374869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332474377693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332474406548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332474412722
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332474413734
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1332474415841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474418210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474441873
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332474442532
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332474472280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332474472546
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332474494323
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1332474497052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474499433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474531607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474531861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474534046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474534066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474534491
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332474535013
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332474555344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332474555494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1332474559730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332474561779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332474562429
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332474566127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332474566392
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332474572550
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1332474575044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474577425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332474597083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332474597880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332474599790
