what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023812118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023837061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023847593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023855251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023868960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333023906914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333023908905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333023912203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333023923690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333023925869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333023939253
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333023940377
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1333023942181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023942365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023943982
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1333023944003
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1333023952674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023952722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023954141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023956623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333023963808
activated,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1333023983540
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333024001941
activated,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1333024012533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333024034303
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333024035537
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1333024041481
