what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332475680648
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332475682485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332475682662
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332475684318
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332475701518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332475701797
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332475704670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475707713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475721717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475724002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475733820
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332475734372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1332475774334
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332475777929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332475778144
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332475779522
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332475780851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475782563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475794675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332475796375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332475797138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332475797898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332475803029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475803592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475811771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332475818594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475879929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475881181
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332475884167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332475884305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332475923495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332475924790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475926472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475994448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332475997804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476027719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476030772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476032171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476034449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476040538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476045149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476045648
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332476047097
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1332476049173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476051569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476060808
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332476061714
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332476068289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476068521
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332476070032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476070171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476075192
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332476076473
executed,command,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.RAPLaunchShortcut.run",1332476078640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476080993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476089336
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332476090181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332476093861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332476095044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332476098621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332476100087
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332476102021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476102289
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332476105239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476108177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476116705
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332476121589
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332476138427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476138693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332476140257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332476140861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332476151010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332476152571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476155224
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332476156023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476159688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476164495
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332476172079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476181245
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332476183072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476186693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476197366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332476198055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476213712
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332476214897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476218342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476222418
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332476223577
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332476228781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476228963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476245849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476257886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476324980
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332476335613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332476335861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476344386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476370829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476371518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476374011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332476376511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476408933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476478069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476480111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476481216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476482504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476484120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476487396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476488867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476489447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332476526355
