what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.platform.e37,2.5.2.v201202290255-rel-r37,"com.google.gdt.eclipse.platform.e37",1333059525678
started,bundle,com.google.gdt.eclipse.platform.shared,2.5.2.v201202290255-rel-r37,"com.google.gdt.eclipse.platform.shared",1333059525679
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.2.v201202290255-rel-r37,"com.google.gdt.eclipse.suite.ext",1333059525679
started,bundle,com.google.gwt.eclipse.core,2.5.2.v201202290255-rel-r37,"com.google.gwt.eclipse.core",1333059525679
os,sysinfo,,,"win32",1333059525682
arch,sysinfo,,,"x86",1333059525682
ws,sysinfo,,,"win32",1333059525682
locale,sysinfo,,,"en_AU",1333059525682
processors,sysinfo,,,"8",1333059525682
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333059525682
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1333059525682
java.specification.name,sysinfo,,,"Java Platform API Specification",1333059525682
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333059525682
java.specification.version,sysinfo,,,"1.6",1333059525682
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333059525682
java.version,sysinfo,,,"1.6.0_31",1333059525682
java.vm.info,sysinfo,,,"mixed mode",1333059525682
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333059525682
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333059525682
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333059525682
java.vm.specification.version,sysinfo,,,"1.0",1333059525682
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333059525682
java.vm.version,sysinfo,,,"20.6-b01",1333059525682
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1333059525691
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059531511
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059531583
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059555896
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059555961
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1333059556017
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059573058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333059584304
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1333059585410
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333059585654
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1333059586363
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1333059586420
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1333059586429
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1333059586448
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1333059586507
started,bundle,org.eclipse.php.debug.ui,3.0.1.v201201110400,"org.eclipse.php.debug.ui",1333059586534
started,bundle,org.eclipse.php.server.ui,3.0.1.v201201110400,"org.eclipse.php.server.ui",1333059586536
started,bundle,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch",1333059586539
started,bundle,org.eclipse.rap.ui.launch.rwt,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.rwt",1333059586540
started,bundle,com.google.gdt.eclipse.suite,2.5.2.v201202290255-rel-r37,"com.google.gdt.eclipse.suite",1333059586983
started,bundle,org.eclipse.php.server.core,3.0.1.v201201110400,"org.eclipse.php.server.core",1333059586993
started,bundle,org.eclipse.php.debug.daemon,3.0.1.v201201110400,"org.eclipse.php.debug.daemon",1333059587494
started,bundle,org.eclipse.php.debug.core,3.0.1.v201201110400,"org.eclipse.php.debug.core",1333059587526
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1333059588771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059589263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059589269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059589298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059602004
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059603029
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059603095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333059608817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333059614876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059618489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059637298
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059645290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059660214
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059671224
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1333059673984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333059674078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059674821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333059679489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333059680036
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333059683006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059686270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059699796
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059708995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333059710848
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333059711789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059715496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059723586
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333059724037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333059724455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333059724932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333059725791
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1333059741921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333059742222
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333059744271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059747618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333059762236
