what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334023299949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334023336089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334023343065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334023352912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1334023385816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334023392581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334023393354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334023398832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334023407736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334023415380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334023416397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023419200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023419344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334023435456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334023455165
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1334023465359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023468086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023487224
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1334023487931
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334023505791
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1334023506457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334023506714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334023522303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334023532311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334023533237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334023548513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334023550271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334023553053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023649757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023651260
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1334023655410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023658253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023661249
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334023662228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023663899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023676881
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1334023677559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023682367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023702715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023703184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023704737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023712665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023713676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023716732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023718175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023725772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023727935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023729011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023730483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023749801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023751827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023759245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023760865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023775577
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334023779581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023788340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023790936
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1334023792278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023794617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023801015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023802837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023815994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023819819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023833625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023841851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023855834
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334023857358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023868854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023874923
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1334023877438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023884341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1334023884356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023887610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023902849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023926977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023929633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1334023929648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023934234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023936390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334023945839
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334023945868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334024100477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334024104035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334024105091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334024116171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334024125215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334024130028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334024131065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334024169506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334024171094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334024179537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334024197590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334024198120
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1334024216939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024219605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024234406
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1334024235336
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334024244260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334024260638
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1334024264136
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334024267084
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1334024267837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334024267959
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1334024269242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024272106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024274347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024277564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024292496
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1334024294431
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334024297205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334024328428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334024333415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334024333870
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1334024336334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024339128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024356459
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1334024357090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024362785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024373200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024374666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024379094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024380324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024382500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024383707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024399737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024400979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024406350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024407674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024409464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024410762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024422321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024423973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024431129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024435019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024436716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024437190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024437931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024441078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024447027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024448374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024451332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024452395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024456608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334024460169
