what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gwt.eclipse.core,2.5.2.v201202290255-rel-r37,"com.google.gwt.eclipse.core",1333966920154
os,sysinfo,,,"win32",1333966920157
arch,sysinfo,,,"x86",1333966920157
ws,sysinfo,,,"win32",1333966920157
locale,sysinfo,,,"en_AU",1333966920157
processors,sysinfo,,,"8",1333966920157
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333966920157
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1333966920157
java.specification.name,sysinfo,,,"Java Platform API Specification",1333966920157
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333966920157
java.specification.version,sysinfo,,,"1.6",1333966920157
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333966920157
java.version,sysinfo,,,"1.6.0_31",1333966920157
java.vm.info,sysinfo,,,"mixed mode",1333966920157
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333966920157
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333966920157
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333966920157
java.vm.specification.version,sysinfo,,,"1.0",1333966920157
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333966920157
java.vm.version,sysinfo,,,"20.6-b01",1333966920157
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1333966921937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333967024140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333967025441
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1333967025462
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333967025593
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1333967025664
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1333967026298
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1333967026468
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1333967026469
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1333967026470
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1333967026470
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1333967026471
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1333967026472
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1333967026474
stopped,bundle,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch",1333967026475
stopped,bundle,org.eclipse.rap.ui.templates,1.4.2.20120213-1325,"org.eclipse.rap.ui.templates",1333967026476
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.3.v201201121156,"org.eclipse.datatools.connectivity.oda.template.ui",1333967026476
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1333967026478
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1333967026479
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1333967026480
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1333967026481
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1333967026482
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1333967026483
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1333967026484
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1333967026485
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1333967026486
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1333967026487
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1333967026488
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1333967026488
stopped,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1333967026489
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1333967026489
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1333967026489
stopped,bundle,com.google.appengine.eclipse.datatools,2.5.2.v201202290255-rel-r37,"com.google.appengine.eclipse.datatools",1333967026490
stopped,bundle,com.google.appengine.eclipse.sdkbundle,1.6.3.v201202290255r37,"com.google.appengine.eclipse.sdkbundle",1333967026491
