what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477683454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477685428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477685457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477685855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477686648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477688709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477689143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477691630
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332477692365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332477702880
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332477709402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332477709581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332477717088
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332477718671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477721821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477726390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477727211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477730752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477731145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477733480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477736728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477738274
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332477739360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477862499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477862709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332477872440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332477878672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332477879669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332477882524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332477890329
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332477909558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477912712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477917415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477918017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477924346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477924898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477927181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477927561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332477929399
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332477949492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332477995857
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332477998308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478001268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478011753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332478012535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478022915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478023203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478023436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478023624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478023967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478024328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478027103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478028890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478029823
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332478030612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478033639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478102871
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332478103376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332478109268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478110132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332478112755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332478123718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478124920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478126213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478146823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478151543
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332478153767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478156924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478171586
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332478172337
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332478173154
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332478174921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478179400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478179751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478180194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478180591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478180946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478181293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478182068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332478191597
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332478202609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478202864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478213014
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332478213515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478216994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478228683
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332478229365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332478387898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332478388665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478389070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478394370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478397963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478404538
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332478405548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478408651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478444341
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332478445356
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332478463329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478463477
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332478465826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478466359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332478468845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332478470479
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1332478472166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332478472382
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332478482212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478485330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478498570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478502461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332478503429
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332478503822
